id,old_id,title,author,author_type,year,venue,venue_type,link,reference,objective,artifacts
S39,S28,An experience report on detecting and repairing software architecture erosion,"Francesca Arcelli Fontana 
Riccardo Roveda
Marco Zanoni
Claudia Raibulet
Rafael Capilla",Academia,"2,016.00",Working IEEE/IFIP Conference on Software Architecture,Conference,http://doi.org/10.1109/WICSA.2016.37,"@INPROCEEDINGS{Fontana2016-ta,
  title           = ""An experience report on detecting and repairing software
                     architecture erosion"",
  booktitle       = ""2016 13th Working {IEEE/IFIP} Conference on Software
                     Architecture ({WICSA})"",
  author          = ""Fontana, Francesca Arcelli and Roveda, Riccardo and
                     Zanoni, Marco and Raibulet, Claudia and Capilla, Rafael"",
  publisher       = ""IEEE"",
  month           =  apr,
  year            =  2016,
  conference      = ""2016 13th Working IEEE/IFIP Conference on Software
                     Architecture (WICSA)"",
  location        = ""Venice, Italy""
}
","This paper describes
our experience on identifying architectural erosion problems on
existing open source software applications through the support
of two well known tools.","Sonargraph
Structure101"
S40,S29,Pragmatic Approach for Managing Technical Debt in Legacy Software Project,"Rajeev Kumar Gupta
Prabhulinga Manikreddy
Sandesh Naik
Arya K",Academia,"2,016.00",India Software Engineering Conference,Conference,https://doi.org/10.1145/2856636.2856655,"@INPROCEEDINGS{Gupta2016-kv,
  title           = ""Pragmatic approach for managing technical debt in legacy
                     software project"",
  booktitle       = ""Proceedings of the 9th India Software Engineering
                     Conference"",
  author          = ""Gupta, Rajeev Kumar and Manikreddy, Prabhulinga and Naik,
                     Sandesh and Arya, K"",
  publisher       = ""ACM"",
  month           =  feb,
  year            =  2016,
  address         = ""New York, NY, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""ISEC '16: 9th India Software Engineering Conference"",
  location        = ""Goa India""
}
","In this paper, we are describing a case study of managing
technical debt on a legacy project referred here as Global
Configurator Project (GCP) using pragmatic approach. The paper
presents holistic lifecycle approach with four stages and various
practices in each stage for managing technical debt.","GDI handle
IBM Rational Purify
Coverity
Findbugs
Simian
source monitor
Perfmon
Apache JMeter
PCLint
FxCop
Intel thread checker
Cppcheck"
S41,S30,Technical Debt Prioritization using Predictive Analytics,"Zadia Codabux
Byron J. Williams",Academia,"2,016.00",International Conference on Software Engineering Companion,Conference,http://dx.doi.org/10.1145/2889160.2892643,"@inproceedings{Codabux_2016,
	doi = {10.1145/2889160.2892643},
	url = {https://doi.org/10.1145%2F2889160.2892643},
	year = 2016,
	month = {may},
	publisher = {{ACM}},
	author = {Zadia Codabux and Byron J. Williams},
	title = {Technical debt prioritization using predictive analytics},
	booktitle = {Proceedings of the 38th International Conference on Software Engineering Companion}
}",This paper bridge this gap by proposing a framework which makes use of a plethora of techniques ranging from data mining to prediction and decision models that project managers can use in their decision-making process to determine which technical debt is more critical and should be addressed first.,Understand
S42,S31,Does Your Configuration Code Smell?,"Tushar Sharma
Marios Fragkoulis
Diomidis Spinellis",Academia,"2,016.00",Working Conference on Mining Software Repositories,Conference,https://doi.org/10.1145/2901739.2901761,"@inproceedings{Sharma_2016,
	doi = {10.1145/2901739.2901761},
	url = {https://doi.org/10.1145%2F2901739.2901761},
	year = 2016,
	month = {may},
	publisher = {{ACM}},
	author = {Tushar Sharma and Marios Fragkoulis and Diomidis Spinellis},
	title = {Does your configuration code smell?},
	booktitle = {Proceedings of the 13th International Conference on Mining Software Repositories}
}","We propose a catalog of 13 implementation and 11 design configuration smells, where each
smell violates recommended best practices for configuration code.","Puppeteer
Puppet-Lint"
S43,S32,Technical Debt in MDE: A Case Study on GMF/EMF-Based Projects,"Xiao He
Paris Avgeriou
Peng Liang
Zengyang Li",Academia,"2,016.00",International Conference on Model Driven Engineering Languages and Systems,Conference,https://doi.org/10.1145/2976767.2976806,"@inproceedings{He_2016,
	doi = {10.1145/2976767.2976806},
	url = {https://doi.org/10.1145%2F2976767.2976806},
	year = 2016,
	month = {oct},
	publisher = {{ACM}},
	author = {Xiao He and Paris Avgeriou and Peng Liang and Zengyang Li},
	title = {Technical debt in {MDE}},
	booktitle = {Proceedings of the {ACM}/{IEEE} 19th International Conference on Model Driven Engineering Languages and Systems}
}","This paper investigates the code-level TD in MDE projects, which is incurred during code generation. We evaluated 16 open-source and non-trivial GMF/EMF-based MDE projects using bad smells, which are widely-accepted TD indicators.",PMD
S44,S33,How do software development teams manage technical debt? – An empirical study,"Jesse Yli-Huumo
Andrey Maglyas
Kari Smolander",Academia,"2,016.00",The Journal of Systems and Software,Journal,http://dx.doi.org/10.1016/j.jss.2016.05.018,"@article{Yli_Huumo_2016,
	doi = {10.1016/j.jss.2016.05.018},
	url = {https://doi.org/10.1016%2Fj.jss.2016.05.018},
	year = 2016,
	month = {oct},
	publisher = {Elsevier {BV}},
	volume = {120},
	pages = {195--218},
	author = {Jesse Yli-Huumo and Andrey Maglyas and Kari Smolander},
	title = {How do software development teams manage technical debt? {\textendash} An empirical study},
	journal = {Journal of Systems and Software}
}","We used the exploratory case study method to collect and analyze empirical
data in the case organization by interviewing a total of 25 persons in eight software development teams.","SonarQube
DebtFlag
JIRA
CheckStyle
FindBugs"
S45,S190,Automatic Detection of Instability Architectural Smells,"Francesca Arcelli Fontana
Ilaria Pigazzini
Riccardo Roveda
Marco Zanoni",Academia,"2,016.00",International Conference on Software Maintenance and Evolution,Conference,,"@inproceedings{Fontana2016,
  doi = {10.1109/icsme.2016.33},
  url = {https://doi.org/10.1109/icsme.2016.33},
  year = {2016},
  month = oct,
  publisher = {{IEEE}},
  author = {Francesca Arcelli Fontana and Ilaria Pigazzini and Riccardo Roveda and Marco Zanoni},
  title = {Automatic Detection of Instability Architectural Smells},
  booktitle = {2016 {IEEE} International Conference on Software Maintenance and Evolution ({ICSME})}
}",,"Arcan
Ai Reviewer
Understand"
S46,S200,Refactoring for Software Architecture Smells,,Academia,"2,016.00",International Workshop on Software Refactoring,Conference,,"@inproceedings{10.1145/2975945.2975946,
author = {Samarthyam, Ganesh and Suryanarayana, Girish and Sharma, Tushar},
title = {Refactoring for Software Architecture Smells},
year = {2016},
isbn = {9781450345095},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/2975945.2975946},
doi = {10.1145/2975945.2975946},
booktitle = {Proceedings of the 1st International Workshop on Software Refactoring},
pages = {1–4},
numpages = {4},
keywords = {Architecture refactoring, Software ar- chitecture, Architecture smells},
location = {Singapore, Singapore},
series = {IWoR 2016}
}",,
S47,S34,Technical Debt Principal Assessment through Structural Metrics,"Makrina Viola Kosti
Apostolos Ampatzoglou
Alexander Chatzigeorgiou
Georgios Pallas
Ioannis Stamelos
Lefteris Angelis",Academia,"2,017.00",Euromicro Conference on Software Engineering and Advanced Applications,Conference,http://doi.org/10.1109/SEAA.2017.59,"@inproceedings{Kosti2017,
  doi = {10.1109/seaa.2017.59},
  url = {https://doi.org/10.1109/seaa.2017.59},
  year = {2017},
  month = aug,
  publisher = {{IEEE}},
  author = {Makrina Viola Kosti and Apostolos Ampatzoglou and Alexander Chatzigeorgiou and Georgios Pallas and Ioannis Stamelos and Lefteris Angelis},
  title = {Technical Debt Principal Assessment Through Structural Metrics},
  booktitle = {2017 43rd Euromicro Conference on Software Engineering and Advanced Applications ({SEAA})}
}","Specifically, we investigate if the monetized TD principal assessments can be subsumed by metric scores.",SonarQube
S48,S35,SonarQube as a Tool to Identify Software Metrics and Technical Debt in the Source Code through Static Analysis,"Daniel Guaman
Pablo Alejandro-Quezada Sarmiento
Luis Barba-Guamán
Paola Cabrera
Liliana Enciso",Academia,"2,017.00",International Workshop on Computer Science and Engineering,Workshop,http://doi.org/10.18178/wcse.2017.06.030,"@INPROCEEDINGS{Guaman2017,
  title      = ""{SonarQube} as a tool to identify software metrics and
                technical debt in the source code through static analysis"",
  booktitle  = ""Proceedings of 2017 the 7th International Workshop on Computer
                Science and Engineering"",
  publisher  = ""WCSE"",
  year       =  2017,
  conference = ""2017 the 7th International Workshop on Computer Science and
                Engineering"",
  author = ""Daniel Guaman, and Pablo Alejandro-Quezada Sarmiento, and Luis Barba-Guamán, and Paola Cabrera, and Liliana Enciso""
}","This paper exposes the search, classify and analysis of aspects related to technical debt in the code, also showed the use of SonarQube combined with static analysis as a technique to analyze the software characteristics from the source code to determine possible issues in the people that develop software.",SonarQube
S49,S37,Towards Triaging Code-Smell Candidates via Runtime Scenarios and Method-Call Dependencies,"Thorsten Haendler
Stefan Sobernig
Mark Strembeck",Academia,"2,017.00",International Conference on Agile Software Development: Companion,Conference,https://doi.org/10.1145/3120459.3120468,"@INPROCEEDINGS{Haendler2017-qd,
  title           = ""Towards triaging code-smell candidates via runtime
                     scenarios and method-call dependencies"",
  booktitle       = ""Proceedings of the {XP2017} Scientific Workshops"",
  author          = ""Haendler, Thorsten and Sobernig, Stefan and Strembeck,
                     Mark"",
  publisher       = ""ACM"",
  month           =  may,
  year            =  2017,
  address         = ""New York, NY, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""XP '17 Workshops: Proceedings of the Scientific Workshops
                     of XP2017"",
  location        = ""Cologne Germany""
}
","In this paper, we propose an approach to obtain tailorable design
documentation for object-oriented systems based on runtime tests.
In particular, the approach supports a tool-supported triaging of
code-smell candidates.",KaleidoScope
S50,S39,Toward Technical Debt Aware Software Modeling,"Gonzalo Rojas
Clemente Izurieta
Isaac Griffith",Academia,"2,017.00",Iberoamerican Conference on Software Engineering,Conference,https://www.semanticscholar.org/paper/Toward-Technical-Debt-Aware-Software-Modeling-Rojas-Izurieta/11bbc831715fab2e3f30a999fc3968a39a331ae8,"@inproceedings{Rojas2017TowardTD,
  title={Toward Technical Debt Aware Software Modeling},
  author={Gonzalo Rojas and Clemente Izurieta and Isaac Griffith},
  booktitle={CIbSE},
  year={2017}
}","Our work addresses this fundamental gap by first providing a map of cor-
respondences between recognized model smells of UML Class Diagrams and Java

source code issues.","EMF Refactor
SonarQube"
S51,S40,Recommending when Design Technical Debt Should be Self-Admitted,"Fiorella Zampetti
Cedric Noiseux
Giuliano Antoniol
Foutse Khomh
Massimiliano Di Penta",Academia,"2,017.00",International Conference on Software Maintenance and Evolution,Conference,http://doi.org/10.1109/ICSME.2017.44,"@INPROCEEDINGS{Zampetti2017-bi,
  title           = ""Recommending when Design Technical Debt Should be
                     {Self-Admitted}"",
  booktitle       = ""2017 {IEEE} International Conference on Software
                     Maintenance and Evolution ({ICSME})"",
  author          = ""Zampetti, Fiorella and Noiseux, Cedric and Antoniol,
                     Giuliano and Khomh, Foutse and Di Penta, Massimiliano"",
  publisher       = ""IEEE"",
  month           =  sep,
  year            =  2017,
  conference      = ""2017 IEEE International Conference on Software Maintenance
                     and Evolution (ICSME)"",
  location        = ""Shanghai""
}","To achieve this

goal, we have developed a machine learning approach named TE-
DIOUS (TEchnical Debt IdentificatiOn System), which leverages

various kinds of method-level features as independent variables,
including source code structural metrics, readability metrics and,
last but not least, warnings raised by static analysis tools.","CheckStyle
PMD"
S52,S41,Compiling Static Software Metrics for Reliability and Maintainability from GitHub Repositories,"Jeremy Ludwig
Steven Xu
Frederick Webber",Both,"2,017.00","International Conference on Systems, Man, and Cybernetics",Conference,https://doi.org/10.1109/SMC.2017.8122569,"@INPROCEEDINGS{Ludwig2017-dp,
  title           = ""Compiling static software metrics for reliability and
                     maintainability from {GitHub} repositories"",
  booktitle       = ""2017 {IEEE} International Conference on Systems, Man, and
                     Cybernetics ({SMC})"",
  author          = ""Ludwig, Jeremy and Xu, Steven and Webber, Frederick"",
  publisher       = ""IEEE"",
  month           =  oct,
  year            =  2017,
  conference      = ""2017 IEEE International Conference on Systems, Man and
                     Cybernetics (SMC)"",
  location        = ""Banff, AB""
}","A plug-in is
created for the Understand code visualization and static analysis
tool that calculates and aggregates the metrics. The plug-in
produces a high-level interactive html report as well as
developer-level information needed to address quality issues
using Understand.","Understand
CBR Insight"
S53,S42,Improving Object-Oriented Design ality: A Portfolio and Measurement-Based Approach,"Johannes Bräuer
Reinhold Plösch
Matthias Saft
Christian Körner",Both,"2,017.00",International Workshop on Software Measurement,Workshop,http://doi.org/10.1145/3143434.3143454,"@INPROCEEDINGS{Brauer2017-ja,
  title           = ""Improving object-oriented design quality"",
  booktitle       = ""Proceedings of the 27th International Workshop on Software
                     Measurement and 12th International Conference on Software
                     Process and Product Measurement"",
  author          = ""Br{\""a}uer, Johannes and Saft, Matthias and Pl{\""o}sch,
                     Reinhold and K{\""o}rner, Christian"",
  publisher       = ""ACM"",
  month           =  oct,
  year            =  2017,
  address         = ""New York, NY, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""IWSM/Mensura '17: 27th International Workshop on Software
                     Measurement and 12th International Conference on Software
                     Process and Product Measurement"",
  location        = ""Gothenburg Sweden""
}","In this paper, we propose an approach that supports the decision-making process re-
garding design improvements. It identies violations of design best practices that are then arranged within a two-dimensional portfolio matrix.","MUSE
SonarQube"
S54,S43,What if I had no smells?,"Davide Falessi
Barbara Russo
Kathleen Mullen",Both,"2,017.00",International Symposium on Empirical Software Engineering and Measurement,Conference,https://doi.org/10.1109/esem.2017.14,"@inproceedings{Falessi_2017,
	doi = {10.1109/esem.2017.14},
	url = {https://doi.org/10.1109/esem.2017.14},
	year = 2017,
	month = {nov},
	publisher = {{IEEE}},
	author = {Davide Falessi and Barbara Russo and Kathleen Mullen},
	title = {What if I Had No Smells?},
	booktitle = {2017 {ACM}/{IEEE} International Symposium on Empirical Software Engineering and Measurement ({ESEM})}
}
","This is an interesting question that no previous study, to
the best of our knowledge, has tried to answer. In this paper, we
present a method for implementing a what-if scenario analysis
estimating the number of defective files in the absence of smells.",SonarQube
S55,S44,Who is Producing More Technical Debt? A Personalized Assessment of TD Principal,"Theodoros Amanatidis
Alexander Chatzigeorgiou
Apostolos Ampatzoglou
Ioannis Stamelos",Academia,"2,017.00",International Conference on Agile Software Development,Conference,https://doi.org/10.1145/3120459.3120464,"@INPROCEEDINGS{Amanatidis2017-yd,
  title           = ""Who is producing more technical debt?"",
  booktitle       = ""Proceedings of the {XP2017} Scientific Workshops"",
  author          = ""Amanatidis, Theodoros and Chatzigeorgiou, Alexander and
                     Ampatzoglou, Apostolos and Stamelos, Ioannis"",
  publisher       = ""ACM"",
  month           =  may,
  year            =  2017,
  address         = ""New York, NY, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""XP '17 Workshops: Proceedings of the Scientific Workshops
                     of XP2017"",
  location        = ""Cologne Germany""
}","In this paper, we investigate three
research questions related to the distribution of TD among the
developers of a software project, the types of violations caused by
each developer and the relation between developers’ maturity and
the tendency to accumulate TD.",SonarQube
S56,S45,Correlations of Software Code Metrics: An Empirical Study,"Md Abdullah Al Mamun
Christian Berger
Jörgen Hansson",Academia,"2,017.00",International Workshop on Software Measurement,Conference,https://doi.org/10.1145/3143434.3143445,"@inproceedings{10.1145/3143434.3143445,
author = {Mamun, Md Abdullah Al and Berger, Christian and Hansson, J\""{o}rgen},
title = {Correlations of Software Code Metrics: An Empirical Study},
year = {2017},
isbn = {9781450348539},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3143434.3143445},
doi = {10.1145/3143434.3143445},
booktitle = {Proceedings of the 27th International Workshop on Software Measurement and 12th International Conference on Software Process and Product Measurement},
pages = {255–266},
numpages = {12},
keywords = {software engineering, spearman's rank correlation, correlation of metrics, software code metrics},
location = {Gothenburg, Sweden},
series = {IWSM Mensura '17}
}","To understand such relationships, this empirical study has collected 25 metrics classi-
fied into four domains from 9572 software revisions of 20 open source projects from 8 well-known companies.",SonarQube
S57,S46,Identifying self-admitted technical debt in open source projects using text mining,"Qiao Huang
Emad Shihab
Xin Xia
David Lo
Shanping Li",Academia,"2,017.00",Empirical Software Engineering,Journal,http://doi.org/10.1007/s10664-017-9522-4,"@article{Huang_2017,
	doi = {10.1007/s10664-017-9522-4},
	url = {https://doi.org/10.1007%2Fs10664-017-9522-4},
	year = 2017,
	month = {may},
	publisher = {Springer Science and Business Media {LLC}},
	volume = {23},
	number = {1},
	pages = {418--451},
	author = {Qiao Huang and Emad Shihab and Xin Xia and David Lo and Shanping Li},
	title = {Identifying self-admitted technical debt in open source projects using text mining},
	journal = {Empirical Software Engineering}
}","In this paper, we proposed an automated approach to detect SATD in source code comments",Proposed by the author
S58,S47,SATD Detector: A Text-Mining-Based Self-Admitted Technical Debt Detection Tool,"Zhongxin Liu
Qiao Huang
Xin Xia
Emad Shihab
David Lo
Shanping Li",Academia,"2,018.00",International Conference on Software Engineering,Conference,https://doi.org/10.1145/3183440.3183478,"@INPROCEEDINGS{Liu2018-ci,
  title           = ""{SATD} detector"",
  booktitle       = ""Proceedings of the 40th International Conference on
                     Software Engineering: Companion Proceeedings"",
  author          = ""Liu, Zhongxin and Huang, Qiao and Xia, Xin and Shihab,
                     Emad and Lo, David and Li, Shanping"",
  publisher       = ""ACM"",
  month           =  may,
  year            =  2018,
  address         = ""New York, NY, USA"",
  copyright       = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference      = ""ICSE '18: 40th International Conference on Software
                     Engineering"",
  location        = ""Gothenburg Sweden""
}
","In this paper, we propose SATD Detector, a tool that is able to (i) automatically detect SATD comments using text mining and (ii) highlight, list and manage detected comments in an integrated development environment (IDE). This tool consists of a Java library and an Eclipse plug-in.",SATD Detector
S59,S49,Identifying and Prioritizing Architectural Debt Through Architectural Smells: A Case Study in a Large Software Company,"Antonio Martini
Francesca Arcelli Fontana
Andrea Biaggi
Riccardo Roveda",Both,"2,018.00",European Conference on Software Architecture,Conference,https://doi.org/10.1007/978-3-030-00761-4_21,"@INCOLLECTION{Martini2018-hy,
  title     = ""Identifying and prioritizing architectural debt through
               architectural smells: A case study in a large software company"",
  booktitle = ""Software Architecture"",
  author    = ""Martini, Antonio and Fontana, Francesca Arcelli and Biaggi,
               Andrea and Roveda, Riccardo"",
  publisher = ""Springer International Publishing"",
  pages     = ""320--335"",
  series    = ""Lecture notes in computer science"",
  year      =  2018,
  address   = ""Cham""
}
","In this paper, we conducted a multiple case-study on several architectural smells detected in four industrial projects.",Arcan
S60,S53,An Architectural Smells Detection Tool for C and C++ projects,"Andrea Biaggi
Francesca Arcelli Fontana
Riccardo Roveda",Academia,"2,018.00",Euromicro Conference on Software Engineering and Advanced Applications,Conference,http://doi.org/10.1109/SEAA.2018.00074,"@INPROCEEDINGS{Biaggi2018-sk,
  title           = ""An architectural smells detection tool for {C} and C++
                     projects"",
  booktitle       = ""2018 44th Euromicro Conference on Software Engineering and
                     Advanced Applications ({SEAA})"",
  author          = ""Biaggi, Andrea and Arcelli Fontana, Francesca and Roveda,
                     Riccardo"",
  publisher       = ""IEEE"",
  month           =  aug,
  year            =  2018,
  conference      = ""2018 44th Euromicro Conference on Software Engineering and
                     Advanced Applications (SEAA)"",
  location        = ""Prague""
}","The purpose of this paper is to introduce an open-
source tool for automatic architectural smells detection for C/C++

projects, by creating an abstraction of the project and defining
the concept of dependency between elements belonging to the
project in order to identify architectural smells.",ARCAN FOR C/C++
S61,S54,Experiences Applying Automated Architecture Analysis Tool Suites,"Ran Mo
Will Snipes
Yuanfang Cai
Srini Ramaswamy
Rick Kazman
Martin Naedele",Both,"2,018.00",International Conference on Automated Software Engineering,Conference,https://doi.org/10.1145/3238147.3240467,"@INPROCEEDINGS{Mo2018-us,
  title      = ""Experiences applying automated architecture analysis tool
                suites"",
  booktitle  = ""Proceedings of the 33rd {ACM/IEEE} International Conference on
                Automated Software Engineering"",
  author     = ""Mo, Ran and Snipes, Will and Cai, Yuanfang and Ramaswamy, Srini
                and Kazman, Rick and Naedele, Martin"",
  publisher  = ""ACM"",
  month      =  sep,
  year       =  2018,
  address    = ""New York, NY, USA"",
  copyright  = ""http://www.acm.org/publications/policies/copyright\_policy\#Background"",
  conference = ""ASE '18: 33rd ACM/IEEE International Conference on Automated
                Software Engineering"",
  location   = ""Montpellier France""
}","In this paper, we report our experiences of applying three com-
plementary automated software architecture analysis techniques,

supported by a tool suite, called DV8, to 8 industrial projects within

a large company.","DV8
Understand"
S62,S56,Towards an Architectural Debt Index,"Riccardo Roveda
Francesca Arcelli Fontana
Ilaria Pigazzini
Marco Zanoni",Both,"2,018.00",Euromicro Conference on Software Engineering and Advanced Applications,Conference,http://doi.org/10.1109/SEAA.2018.00073,"@INPROCEEDINGS{Roveda2018-dj,
  title           = ""Towards an Architectural Debt Index"",
  booktitle       = ""2018 44th Euromicro Conference on Software Engineering and
                     Advanced Applications ({SEAA})"",
  author          = ""Roveda, Riccardo and Arcelli Fontana, Francesca and
                     Pigazzini, Ilaria and Zanoni, Marco"",
  publisher       = ""IEEE"",
  month           =  aug,
  year            =  2018,
  conference      = ""2018 44th Euromicro Conference on Software Engineering and
                     Advanced Applications (SEAA)"",
  location        = ""Prague""
}","In this paper we propose and define a new index, more
oriented to the evaluation of architectural violations. We describe
in detail the index, called Architectural Debt Index, that we
integrated in a tool developed for architectural smell detection.","Arcan
Sonargraph
SonarQube
CAST
Structure101
Massey Architecture Explorer
Lattix
STAN"
S63,S58,Technical Debt in Model Transformation Specifications,"Kevin Lano
Shekoufeh Kolahdouz-Rahimi
Mohammadreza Sharbaf
Hessa Alfraihi",Academia,"2,018.00",International Conference on Theory and Practice of Model Transformations,Conference,https://doi.org/10.1007/978-3-319-93317-7_6,"@incollection{Lano2018,
  doi = {10.1007/978-3-319-93317-7_6},
  url = {https://doi.org/10.1007/978-3-319-93317-7_6},
  year = {2018},
  publisher = {Springer International Publishing},
  pages = {127--141},
  author = {Kevin Lano and Shekoufeh Kolahdouz-Rahimi and Mohammadreza Sharbaf and Hessa Alfraihi},
  title = {Technical Debt in Model Transformation Specifications},
  booktitle = {Theory and Practice of Model Transformation}
}","Based on these measures we identify significant differences in the level
and kinds of technical debt in different MT languages, and we propose
ways in which TD can be reduced.",PMD
S64,S59,Smelly Relations: Measuring and Understanding Database Schema Quality,"Tushar Sharma
Marios Fragkoulis
Stamatia Rizou
Magiel Bruntink
Diomidis Spinellis",Academia,"2,018.00",International Conference on Software Engineering: Software Engineering in Practice,Conference,https://doi.org/10.1145/3183519.3183529,"@inproceedings{Sharma_2018,
	doi = {10.1145/3183519.3183529},
	url = {https://doi.org/10.1145%2F3183519.3183529},
	year = 2018,
	month = {may},
	publisher = {{ACM}},
	author = {Tushar Sharma and Marios Fragkoulis and Stamatia Rizou and Magiel Bruntink and Diomidis Spinellis},
	title = {Smelly relations},
	booktitle = {Proceedings of the 40th International Conference on Software Engineering: Software Engineering in Practice}
}
","We aim to explore database schema quality, associated characteristics and their relationships with other software artifacts.",DbDeo
S65,S60,Evaluating Domain-Specific Metric Thresholds: An Empirical Study,"Allan Mori
Gustavo Vale
Markos Viggiato
Johnatan Oliveira
Eduardo Figueiredo
Elder Cirilo
Pooyan Jamshidi
Christian Kastner",Academia,"2,018.00",International Conference on Technical Debt,Conference,https://doi.org/10.1145/3194164.3194173,"@inproceedings{Mori_2018,
	doi = {10.1145/3194164.3194173},
	url = {https://doi.org/10.1145%2F3194164.3194173},
	year = 2018,
	month = {may},
	publisher = {{ACM}},
	author = {Allan Mori and Gustavo Vale and Markos Viggiato and Johnatan Oliveira and Eduardo Figueiredo and Elder Cirilo and Pooyan Jamshidi and Christian Kastner},
	title = {Evaluating domain-specific metric thresholds},
	booktitle = {Proceedings of the 2018 International Conference on Technical Debt}
}","To tackle this limitation, this paper investigates whether and how
thresholds vary across domains by presenting a large-scale study on
3,107 software systems from 15 domains.",CK
S66,S193,Code smells and their collocations: A large-scale experiment on open-source systems,"Bartosz Walter
Francesca Arcelli Fontana 
Vincenzo Ferme",Academia,"2,018.00",Journal of Systems and Software,Journal,,"@article{WALTER20181,
title = {Code smells and their collocations: A large-scale experiment on open-source systems},
journal = {Journal of Systems and Software},
volume = {144},
pages = {1-21},
year = {2018},
issn = {0164-1212},
doi = {https://doi.org/10.1016/j.jss.2018.05.057},
url = {https://www.sciencedirect.com/science/article/pii/S0164121218301109},
author = {Bartosz Walter and Francesca Arcelli Fontana and Vincenzo Ferme},
keywords = {Code smells, Inter-smell relationships, Smell interaction, Collocated smells, Code smell detectors, Source code quality}
}",,"Ai Reviewer
PMD
CheckStyle"
S67,S201,Support for Architectural Smell Refactoring,,Academia,"2,018.00",International Workshop on Refactoring,Conference,,"@inproceedings{10.1145/3242163.3242165,
author = {Rizzi, Luca and Fontana, Francesca Arcelli and Roveda, Riccardo},
title = {Support for Architectural Smell Refactoring},
year = {2018},
isbn = {9781450359740},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3242163.3242165},
doi = {10.1145/3242163.3242165},
booktitle = {Proceedings of the 2nd International Workshop on Refactoring},
pages = {7–10},
numpages = {4},
keywords = {Cyclic Dependency, Architectural Smells, Architectural Refactoring},
location = {Montpellier, France},
series = {IWoR 2018}
}",,
S68,S205,Towards anticipation of architectural smells using link prediction  techniques,,Academia,"2,018.00",International Working Conference on Source Code Analysis and Manipulation,Conference,,"@INPROCEEDINGS{8530719,  author={Díaz-Pace, Jorge Andrés and Tommasel, Antonela and Godoy, Daniela},  booktitle={2018 IEEE 18th International Working Conference on Source Code Analysis and Manipulation (SCAM)},   title={[Research Paper] Towards Anticipation of Architectural Smells Using Link Prediction Techniques},   year={2018},  volume={},  number={},  pages={62-71},  doi={10.1109/SCAM.2018.00015}}",,
S69,S62,SARIF-enabled Tooling to Encourage Gradual Technical Debt Reduction,"Paul Anderson
Làucja Kot
Neil Gilmore
David Vitek",Industry,"2,019.00",International Conference on Technical Debt,Conference,http://doi.org/10.1109/TechDebt.2019.00024,"@INPROCEEDINGS{Anderson2019-iv,
  title           = ""{SARIF-enabled} tooling to encourage gradual technical
                     debt reduction"",
  booktitle       = ""2019 {IEEE/ACM} International Conference on Technical Debt
                     ({TechDebt})"",
  author          = ""Anderson, Paul and Kot, Lucja and Gilmore, Neil and Vitek,
                     David"",
  publisher       = ""IEEE"",
  month           =  may,
  year            =  2019,
  conference      = ""2019 IEEE/ACM International Conference on Technical Debt
                     (TechDebt)"",
  location        = ""Montreal, QC, Canada""
}
","This tool demo shows how analysis tool findings can be
automatically contributed as comments to the review process in
a similar way to how a human would make comments on the
parts of the code that have been changed.","SARIF
CodeSonarTM
Clang Static Analyzer
Pylint"
S70,S63,TEAMSCALE: Tackle Technical Debt and Control the Quality of Your Software,"Roman Haas
Rainer Niedermayr
Elmar Juergens",Industry,"2,019.00",International Conference on Technical Debt,Conference,http://doi.org/10.1109/TechDebt.2019.00016,"@INPROCEEDINGS{Haas2019-mx,
  title           = ""Teamscale: Tackle technical debt and control the quality
                     of your software"",
  booktitle       = ""2019 {IEEE/ACM} International Conference on Technical Debt
                     ({TechDebt})"",
  author          = ""Haas, Roman and Niedermayr, Rainer and Juergens, Elmar"",
  publisher       = ""IEEE"",
  month           =  may,
  year            =  2019,
  conference      = ""2019 IEEE/ACM International Conference on Technical Debt
                     (TechDebt)"",
  location        = ""Montreal, QC, Canada""
}
","In this paper, we give an overview
of TEAMSCALE and how this tool can be used in practice to
control and lower technical debt in the long run. We explain
which code analyses can be used to identify and address technical
debt.",TEAMSCALE
